NumPages,AvgWordLength,ReadingTimeHours,ComplexityScore,Genre
180,4.5,5.2,3.1,Fiction
200,4.6,5.8,3.3,Fiction
150,4.4,4.5,2.9,Fiction
220,4.7,6.1,3.5,Fiction
190,4.5,5.4,3.2,Fiction
210,4.6,6.0,3.4,Fiction
175,4.4,5.0,3.0,Fiction
195,4.5,5.6,3.2,Fiction
205,4.6,5.9,3.3,Fiction
165,4.3,4.8,2.8,Fiction
185,4.5,5.3,3.1,Fiction
225,4.7,6.3,3.6,Fiction
170,4.4,4.9,2.9,Fiction
215,4.6,6.1,3.4,Fiction
190,4.5,5.5,3.2,Fiction
320,5.1,9.2,4.4,Science
350,5.2,10.1,4.6,Science
300,5.0,8.7,4.2,Science
380,5.3,10.8,4.8,Science
340,5.2,9.9,4.5,Science
360,5.3,10.4,4.7,Science
310,5.1,9.0,4.3,Science
390,5.4,11.2,4.9,Science
330,5.2,9.6,4.4,Science
370,5.3,10.6,4.7,Science
345,5.2,10.0,4.5,Science
315,5.1,9.1,4.3,Science
385,5.4,11.0,4.8,Science
355,5.3,10.3,4.6,Science
325,5.2,9.5,4.4,Science
280,4.9,8.0,3.9,History
300,5.0,8.6,4.1,History
260,4.8,7.4,3.7,History
320,5.1,9.2,4.2,History
290,4.9,8.3,4.0,History
310,5.0,8.9,4.1,History
270,4.8,7.6,3.8,History
330,5.1,9.5,4.3,History
285,4.9,8.1,3.9,History
305,5.0,8.7,4.1,History
295,4.9,8.4,4.0,History
315,5.1,9.0,4.2,History
275,4.8,7.8,3.8,History
325,5.1,9.4,4.3,History
290,4.9,8.2,4.0,History
120,4.1,3.2,2.2,Poetry
140,4.2,3.8,2.4,Poetry
100,4.0,2.8,2.1,Poetry
160,4.3,4.2,2.5,Poetry
130,4.1,3.5,2.3,Poetry
150,4.2,4.0,2.4,Poetry
110,4.0,3.0,2.1,Poetry
170,4.3,4.6,2.6,Poetry
135,4.1,3.6,2.3,Poetry
145,4.2,3.9,2.4,Poetry
125,4.1,3.4,2.2,Poetry
155,4.3,4.1,2.5,Poetry
115,4.0,3.1,2.1,Poetry
165,4.3,4.4,2.6,Poetry
140,4.2,3.8,2.4,Poetry
