Age,Education,Background,Interest,SkillLevel,LearningStyle,StudyTime,CareerGoal,Budget,Duration,RecommendedCourse
21,Working Professional,Science,Finance,Advanced,Reading,20+,Higher Studies,Free,6+ months,Finance & Investment
35,High School,Arts,Business,Intermediate,Project Based,10-20,Start Business,Medium,6+ months,Data Science
40,High School,Arts,Marketing,Beginner,Video,20+,Get Job,Free,6+ months,Python Programming
17,Undergraduate,Commerce,Finance,Intermediate,Video,<5,Skill Upgrade,Free,3-6 months,Graphic Design
24,High School,Engineering,Programming,Advanced,Practical,5-10,Skill Upgrade,Free,3-6 months,Machine Learning
33,High School,Engineering,Cybersecurity,Beginner,Project Based,<5,Freelancing,Low,3-6 months,Digital Marketing
23,Graduate,Commerce,Cloud,Beginner,Video,5-10,Start Business,Premium,3-6 months,Digital Marketing
30,Undergraduate,Commerce,Cloud,Advanced,Reading,<5,Get Job,Low,3-6 months,Digital Marketing
39,Graduate,Engineering,Programming,Beginner,Practical,<5,Higher Studies,Low,3-6 months,Data Science
44,High School,Management,Cloud,Intermediate,Practical,10-20,Get Job,Medium,3-6 months,Mobile App Development
35,Undergraduate,Arts,Design,Advanced,Project Based,<5,Skill Upgrade,Free,1-3 months,Graphic Design
30,Working Professional,Engineering,Business,Advanced,Reading,10-20,Start Business,Premium,1-3 months,Machine Learning
27,Working Professional,Engineering,Business,Intermediate,Project Based,<5,Start Business,Premium,3-6 months,Web Development
34,Graduate,Science,AI/ML,Advanced,Video,10-20,Higher Studies,Free,1-3 months,Digital Marketing
19,Graduate,IT,AI/ML,Beginner,Reading,<5,Start Business,Medium,1-3 months,Python Programming
44,Working Professional,Arts,Business,Beginner,Video,10-20,Start Business,Low,3-6 months,Mobile App Development
22,High School,Arts,Design,Beginner,Reading,20+,Higher Studies,Premium,6+ months,Business Analytics
26,High School,Commerce,Cloud,Advanced,Project Based,<5,Freelancing,Low,6+ months,Cloud Computing
25,High School,Management,Marketing,Beginner,Video,10-20,Freelancing,Free,3-6 months,Cloud Computing
